,qnum,name,coordinates,birth location,birth country,img
0,Q615,Lionel Messi,"(-32.9575, -60.639444444)",Rosario,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Messi%2020180626.jpg
1,Q11571,Cristiano Ronaldo,"(32.65, -16.916666666)",Funchal,Portugal,http://commons.wikimedia.org/wiki/Special:FilePath/Cristiano%20Ronaldo%202018.jpg
2,Q17515,Diego Maradona,"(-34.7, -58.4)",Lanús,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Argentina%20celebrando%20copa%20%28cropped%29.jpg
3,Q12897,Pelé,"(-21.694722222, -45.255277777)",Três Corações,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Pele%20by%20John%20Mathew%20Smith.jpg
4,Q1835,Zinedine Zidane,"(43.296666666, 5.376388888)",Marseille,France,http://commons.wikimedia.org/wiki/Special:FilePath/Zinedine%20Zidane%20by%20Tasnim%2003.jpg
5,Q10520,David Beckham,"(51.569, 0.01)",Leytonstone,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Beckswimbledon.jpg
6,Q20110,Francesco Totti,"(41.893055555, 12.482777777)",Rome,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Francesco%20Totti%20Vicario%20%28crop%29.jpg
7,Q529207,Ronaldo,"(-22.908333333, -43.196388888)",Rio de Janeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/051119SMcC0014.jpg
9,Q142794,Neymar,"(-23.522777777, -46.193055555)",Mogi das Cruzes,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Bra-Cos%20%281%29.jpg
10,Q17163,Johan Cruyff,"(52.383333333, 4.9)",Amsterdam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Cruijff%20%281974%29.jpg
12,Q46896,Zlatan Ibrahimović,"(55.593188589, 13.021423031)",Malmö,Sweden,http://commons.wikimedia.org/wiki/Special:FilePath/Manchester%20United%20v%20Zorya%20Luhansk%2C%20September%202016%20%2808%29%20-%20Zlatan%20Ibrahimovi%C4%87%20%28edited%29.jpg
13,Q44980,Alex Ferguson,"(55.8615, -4.3083)",Govan,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Alex%20Ferguson.jpg
14,Q39444,Ronaldinho,"(-30.032777777, -51.23)",Porto Alegre,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Ronaldinho%20Kazan.jpg
15,Q26517,Luis Alberto Suárez Díaz,"(-31.388333333, -57.960555555)",Salto,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Luis%20Su%C3%A1rez%202018.jpg
16,Q43729,Andrés Iniesta,"(39.266666666, -1.549166666)",Fuentealbilla,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9s%20Iniesta%20in%20Spain-Iran%20press%20conference%202018-06-19.jpg
17,Q68060,Gianluigi Buffon,"(44.083333333, 10.1)",Carrara,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Gianluigi%20Buffon%20%2831784615942%29%20%28cropped%29.jpg
18,Q45901,Thierry Henry,"(48.682222222, 2.1675)",Les Ulis,France,http://commons.wikimedia.org/wiki/Special:FilePath/Thierry%20Henry%202008.jpg
